"speciesgroup","supply","prodmeth","prodmethpct","share_farmed_wild","form","formpct","share_form","yield","importpct","retailpct","supply_weights","prodmeth_weights","form_weights"
"Shrimp",0.263157894736842,"farmed",0.855,0.539557858267684,"fresh",0.26,0.235227712411618,0.579166666666667,0.997634430494137,0.448,0.0585,0.108422107293222,0.248695187315483
"Shrimp",0.263157894736842,"farmed",0.855,0.539557858267684,"frozen",0.74,0.430005594898908,0.579166666666667,0.997634430494137,0.448,0.1665,0.308585997680709,0.387204264258801
"Shrimp",0.263157894736842,"wild caught",0.145,0.46044320648919,"fresh",0.26,0.235227712411618,0.576,0.707425374728101,0.448,0.00992105263157895,0.0215467455958912,0.0421763767961931
"Shrimp",0.263157894736842,"wild caught",0.145,0.46044320648919,"frozen",0.74,0.430005594898908,0.576,0.707425374728101,0.448,0.0282368421052632,0.061325352849844,0.0656662202544166
"Atlantic salmon",0.148947368421053,"farmed",0.9336152,0.539557858267684,"fresh",0.77,0.235227712411618,0.769166666666667,0.994567332860075,0.703,0.107075835911579,0.19845107298661,0.455200770410121
"Atlantic salmon",0.148947368421053,"farmed",0.9336152,0.539557858267684,"frozen",0.23,0.430005594898908,0.769166666666667,0.994567332860075,0.703,0.0319836912463158,0.0592775932297665,0.0743797095333956
"Sockeye salmon",0.148947368421053,"wild caught",0.06638484,0.46044320648919,"fresh",0.17,0.235227712411618,0.70092634756968,0.151304514632361,0.703,0.00168093402757895,0.00365068699871981,0.0071459863735678
"Sockeye salmon",0.148947368421053,"wild caught",0.06638484,0.46044320648919,"frozen",0.58,0.430005594898908,0.70092634756968,0.151304514632361,0.703,0.00573495138821053,0.0124552850544558,0.013336922719712
"Sockeye salmon",0.148947368421053,"wild caught",0.06638484,0.46044320648919,"canned",0.25,0.129187751278947,0.6375,0.151304514632361,0.703,0.00247196180526316,0.00536865735105855,0.0191346453575587
"Tuna",0.136842105263158,"wild caught",1,0.46044320648919,"fresh",0.051,0.235227712411618,0.721666666666667,0.563110608864637,0.813,0.00697894736842105,0.0151570210398683,0.029668899539391
"Tuna",0.136842105263158,"wild caught",1,0.46044320648919,"frozen",0.026,0.430005594898908,0.721666666666667,0.563110608864637,0.813,0.00355789473684211,0.00772710876542304,0.00827406614948474
"Tuna",0.136842105263158,"wild caught",1,0.46044320648919,"canned",0.923,0.129187751278947,0.721666666666667,0.563110608864637,0.813,0.126305263157895,0.274312361172518,0.977687605113362
"Tilapia",0.0563157894736842,"farmed",1,0.539557858267684,"frozen",1,0.430005594898908,0.42,0.934164009186629,0.837,0.0563157894736842,0.10437395843792,0.130965248224093
"Catfish",0.0478947368421053,"farmed",1,0.539557858267684,"fresh",0.0725581395348837,0.235227712411618,0.455450493676476,0,0.485,0.00347515299877601,0.00644074207339582,0.0147735696748814
"Catfish",0.0478947368421053,"farmed",1,0.539557858267684,"frozen",0.927441860465116,0.430005594898908,0.455538253459483,0.804413239719157,0.485,0.0444195838433293,0.0823258954766107,0.103300013698129
"Pollock",0.0463157894736842,"wild caught",1,0.46044320648919,"frozen",1,0.430005594898908,0.325644772592165,0.001995251,0.501,0.0463157894736842,0.10058958156172,0.107709736857198
"Cod",0.03,"wild caught",1,0.46044320648919,"frozen",1,0.430005594898908,0.488,0.249898286304784,0.447,0.03,0.0651546153297504,0.069766534100685
"Crab",0.0273684210526316,"wild caught",1,0.46044320648919,"fresh",0.797,0.235227712411618,0.313333333333333,0.673719959898026,0.349,0.0218126315789474,0.0473731206618628,0.0927298546388024
"Crab",0.0273684210526316,"wild caught",1,0.46044320648919,"frozen",0.188,0.430005594898908,0.313333333333333,0.673719959898026,0.349,0.00514526315789474,0.0111745880607656,0.0119655725854087
"Crab",0.0273684210526316,"wild caught",1,0.46044320648919,"canned",0.015,0.129187751278947,0.313333333333333,0.673719959898026,0.349,0.000410526315789474,0.000891589472933427,0.00317774952907918
"Flatfish",0.026,"wild caught",1,0.46044320648919,"fresh",0.72,0.235227712411618,0.435,0.560353239668007,0.544,0.01872,0.0406564799657643,0.0795824599409546
"Flatfish",0.026,"wild caught",1,0.46044320648919,"frozen",0.28,0.430005594898908,0.435,0.560353239668007,0.544,0.00728,0.0158108533200194,0.0169300122750995
"Scallops",0.0115789473684211,"wild caught",1,0.46044320648919,"fresh",0.61,0.235227712411618,0.205714285714286,0.0980955859807482,0.544,0.00706315789473684,0.0153399111881623,0.0300268953106054
"Scallops",0.0115789473684211,"wild caught",1,0.46044320648919,"frozen",0.39,0.430005594898908,0.205714285714286,0.0980955859807482,0.544,0.00451578947368421,0.0098074842022677,0.0105016993435768
"Other",0.20558,"farmed",0.3467643,0.539557858267684,"mixed",1,0.2055800061674,0.564460877042561,0.720451473726755,0.544,0.071287804794,0.132122632821767,0.346764289597071
"Other",0.20558,"wild caught",0.65323573,0.46044320648919,"mixed",1,0.2055800061674,0.472336992183113,0.720451473726755,0.544,0.1342922013734,0.291658557408975,0.653235710402929
