full_ref,dataset,SUB.TYPE2,country,prodmeth,water,units,type
"Henriksson et al., 2017. Indonesian aquaculture futures - Evaluating environmental and socioeconomic potentials and limitations.",Henriksson 2017,tilapia pond,Indonesia,Aquaculture,18.4,l/kg,blue water
"Henriksson et al., 2017. Indonesian aquaculture futures - Evaluating environmental and socioeconomic potentials and limitations.",Henriksson 2017,carp cages,Indonesia,Aquaculture,18.7,l/kg,blue water
"Henriksson et al., 2017. Indonesian aquaculture futures - Evaluating environmental and socioeconomic potentials and limitations.",Henriksson 2017,clarias,Indonesia,Aquaculture,10.3,l/kg,blue water
"Henriksson et al., 2017. Indonesian aquaculture futures - Evaluating environmental and socioeconomic potentials and limitations.",Henriksson 2017,pangasius,Indonesia,Aquaculture,61.8,l/kg,blue water
"Henriksson et al., 2017. Indonesian aquaculture futures - Evaluating environmental and socioeconomic potentials and limitations.",Henriksson 2017,milkfish,Indonesia,Aquaculture,2870.0,l/kg,blue water
"Henriksson et al., 2017. Indonesian aquaculture futures - Evaluating environmental and socioeconomic potentials and limitations.",Henriksson 2017,whiteleg shrimp,Indonesia,Aquaculture,2850.0,l/kg,blue water
"Henriksson et al., 2017. Indonesian aquaculture futures - Evaluating environmental and socioeconomic potentials and limitations.",Henriksson 2017,tiger shrimp,Indonesia,Aquaculture,15600.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,amur catfish,China,Aquaculture,184.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,asian swamp eel,China,Aquaculture,111.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,atlantic cod,China,Aquaculture,123.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,atlantic salmon,China,Aquaculture,142.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,barramundi,China,Aquaculture,88.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,black carp,China,Aquaculture,207.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,channel catfish,China,Aquaculture,150.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,characidae,China,Aquaculture,174.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,chinese mitten crab,China,Aquaculture,207.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,common carp,China,Aquaculture,209.0,l/kg,blue water
"Pahlow et al., 2015. Increasing pressure on freshwater resources due to terrestrial feed ingredients for aquaculture production.",Pahlow 2015,crucian carp,China,Aquaculture,200.0,l/kg,blue water
